Unique ID, Manufacturer, Chemistry, Voltage (Volts)
123456789WB SR 1WB Lion Battery, WB SR 1, Lithium Ion, 8.372

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2022-04-07, 14:02:07, OK, 100%, 0.00, -1, -4173, , 8.372, -4173, 100.0%, , , , , , , , , , , , 
2022-04-07, 14:02:17, OK, 100%, 0.00, -1, -1650, , 8.224, -1650, 100.0%, , , , , , , , , , , , 
2022-04-07, 14:02:27, OK, 100%, 0.00, -1, -5601, , 8.224, -5601, 100.0%, , , , , , , , , , , , 
2022-04-07, 14:02:37, OK, 100%, 6.84, 24619, -5194, , 8.218, -5194, 100.0%, , , , , , , , , , , , 
2022-04-07, 14:02:47, OK, 100%, 6.84, 24619, -5194, , 8.198, -5194, 100.0%, , , , , , , , , , , , 
2022-04-07, 14:02:57, OK, 100%, 6.84, 24619, -6452, , 8.122, -6452, 100.0%, , , , , , , , , , , , 
2022-04-07, 14:03:07, OK, 100%, 6.84, 24619, -9264, , 8.170, -9264, 100.0%, , , , , , , , , , , , 
2022-04-07, 14:03:17, OK, 100%, 6.84, 24619, -8191, , 8.172, -8191, 100.0%, , , , , , , , , , , , 
2022-04-07, 14:03:27, OK, 100%, 6.84, 24619, -8880, , 8.150, -8880, 100.0%, , , , , , , , , , , , 
2022-04-07, 14:03:37, OK, 100%, 6.84, 24619, -8191, , 8.156, -8191, 100.0%, , , , , , , , , , , , 
2022-04-07, 14:03:47, OK, 100%, 6.84, 24619, -6874, , 8.156, -6874, 100.0%, , , , , , , , , , , , 
2022-04-07, 14:03:57, OK, 100%, 6.84, 24619, -6660, , 8.154, -6660, 100.0%, , , , , , , , , , , , 
2022-04-07, 14:04:07, OK, 100%, 6.84, 24619, -6267, , 8.156, -6267, 100.0%, , , , , , , , , , , , 
2022-04-07, 14:04:17, OK, 100%, 6.84, 24619, -6267, , 8.162, -6267, 100.0%, , , , , , , , , , , , 
2022-04-07, 14:04:27, OK, 100%, 6.84, 24619, -6267, , 8.146, -6267, 100.0%, , , , , , , , , , , , 
2022-04-07, 14:04:37, OK, 100%, 6.84, 24619, -6267, , 8.152, -6267, 100.0%, , , , , , , , , , , , 
2022-04-07, 14:04:47, OK, 100%, 6.84, 24619, -6267, , 8.160, -6267, 100.0%, , , , , , , , , , , , 
2022-04-07, 14:04:57, OK, 99%, 5.67, 20199, -5860, , 8.140, -5860, 99.0%, , , , , , , , , , , , 
2022-04-07, 14:05:07, OK, 99%, 5.67, 20199, -6023, , 8.090, -6023, 99.0%, , , , , , , , , , , , 
2022-04-07, 14:05:17, OK, 99%, 5.67, 20199, -7274, , 8.150, -7274, 99.0%, , , , , , , , , , , , 
2022-04-07, 14:05:27, OK, 99%, 5.67, 20199, -6393, , 8.144, -6393, 99.0%, , , , , , , , , , , , 
2022-04-07, 14:05:37, OK, 99%, 5.67, 20199, -6393, , 8.118, -6393, 99.0%, , , , , , , , , , , , 
2022-04-07, 14:05:47, OK, 99%, 5.67, 20199, -6800, , 8.128, -6800, 99.0%, , , , , , , , , , , , 
2022-04-07, 14:05:57, OK, 99%, 5.67, 20199, -6800, , 8.136, -6800, 99.0%, , , , , , , , , , , , 
2022-04-07, 14:06:07, OK, 99%, 5.67, 20199, -7274, , 8.112, -7274, 99.0%, , , , , , , , , , , , 
2022-04-07, 14:06:17, OK, 99%, 5.67, 20199, -6593, , 8.126, -6593, 99.0%, , , , , , , , , , , , 
2022-04-07, 14:06:27, OK, 99%, 5.67, 20199, -6201, , 8.146, -6201, 99.0%, , , , , , , , , , , , 
2022-04-07, 14:06:37, OK, 99%, 5.67, 20199, -6023, , 8.132, -6023, 99.0%, , , , , , , , , , , , 
2022-04-07, 14:06:47, OK, 99%, 5.67, 20199, -5860, , 8.134, -5860, 99.0%, , , , , , , , , , , , 
2022-04-07, 14:06:57, OK, 99%, 5.67, 20199, -7030, , 8.110, -7030, 99.0%, , , , , , , , , , , , 
2022-04-07, 14:07:07, OK, 99%, 5.67, 20199, -6393, , 8.140, -6393, 99.0%, , , , , , , , , , , , 
2022-04-07, 14:07:17, OK, 99%, 5.67, 20199, -5860, , 8.102, -5860, 99.0%, , , , , , , , , , , , 
2022-04-07, 14:07:27, OK, 99%, 5.67, 20199, -6023, , 8.134, -6023, 99.0%, , , , , , , , , , , , 
2022-04-07, 14:07:37, OK, 99%, 5.67, 20199, -6023, , 8.120, -6023, 99.0%, , , , , , , , , , , , 
2022-04-07, 14:07:47, OK, 99%, 5.67, 20199, -6023, , 8.136, -6023, 99.0%, , , , , , , , , , , , 
2022-04-07, 14:07:57, OK, 99%, 5.67, 20199, -6201, , 8.132, -6201, 99.0%, , , , , , , , , , , , 
2022-04-07, 14:08:07, OK, 99%, 5.67, 20199, -6201, , 8.114, -6201, 99.0%, , , , , , , , , , , , 
2022-04-07, 14:08:17, OK, 98%, 5.61, 19805, -6526, , 8.106, -6526, 98.0%, , , , , , , , , , , , 
2022-04-07, 14:08:27, OK, 98%, 5.61, 19805, -6142, , 8.134, -6142, 98.0%, , , , , , , , , , , , 
2022-04-07, 14:08:37, OK, 98%, 5.61, 19805, -5964, , 8.122, -5964, 98.0%, , , , , , , , , , , , 
2022-04-07, 14:08:47, OK, 98%, 5.61, 19805, -5964, , 8.118, -5964, 98.0%, , , , , , , , , , , , 
2022-04-07, 14:08:57, OK, 98%, 5.61, 19805, -5964, , 8.118, -5964, 98.0%, , , , , , , , , , , , 
2022-04-07, 14:09:07, OK, 98%, 5.61, 19805, -5964, , 8.124, -5964, 98.0%, , , , , , , , , , , , 
2022-04-07, 14:09:17, OK, 98%, 5.61, 19805, -5964, , 8.118, -5964, 98.0%, , , , , , , , , , , , 
2022-04-07, 14:09:27, OK, 98%, 5.61, 19805, -6142, , 8.122, -6142, 98.0%, , , , , , , , , , , , 
2022-04-07, 14:09:37, OK, 98%, 5.61, 19805, -6327, , 8.114, -6327, 98.0%, , , , , , , , , , , , 
2022-04-07, 14:09:47, OK, 98%, 5.61, 19805, -6142, , 8.114, -6142, 98.0%, , , , , , , , , , , , 
2022-04-07, 14:09:57, OK, 98%, 5.61, 19805, -6142, , 8.118, -6142, 98.0%, , , , , , , , , , , , 
2022-04-07, 14:10:07, OK, 98%, 5.61, 19805, -6526, , 8.124, -6526, 98.0%, , , , , , , , , , , , 
2022-04-07, 14:10:17, OK, 98%, 5.61, 19805, -6142, , 8.108, -6142, 98.0%, , , , , , , , , , , , 
2022-04-07, 14:10:27, OK, 98%, 5.61, 19805, -6142, , 8.116, -6142, 98.0%, , , , , , , , , , , , 
2022-04-07, 14:10:37, OK, 98%, 5.61, 19805, -5964, , 8.112, -5964, 98.0%, , , , , , , , , , , , 
2022-04-07, 14:10:47, OK, 98%, 5.61, 19805, -6142, , 8.112, -6142, 98.0%, , , , , , , , , , , , 
2022-04-07, 14:10:57, OK, 98%, 5.61, 19805, -5801, , 8.126, -5801, 98.0%, , , , , , , , , , , , 
2022-04-07, 14:11:07, OK, 98%, 5.61, 19805, -5801, , 8.108, -5801, 98.0%, , , , , , , , , , , , 
2022-04-07, 14:11:17, OK, 98%, 5.61, 19805, -5964, , 8.102, -5964, 98.0%, , , , , , , , , , , , 
2022-04-07, 14:11:27, OK, 98%, 5.61, 19805, -6142, , 8.100, -6142, 98.0%, , , , , , , , , , , , 
2022-04-07, 14:11:37, OK, 97%, 5.78, 20194, -6142, , 8.114, -6142, 97.0%, , , , , , , , , , , , 
2022-04-07, 14:11:47, OK, 97%, 5.78, 20194, -6260, , 8.108, -6260, 97.0%, , , , , , , , , , , , 
